"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9579",NA,"GBR","-1.52838427947598","2","20151213","2015","35.95","39.0167","SY","190","19","SY","UK","http://journalobserver.com/2015/12/corbyn-appeals-for-calm-as-syria-air-strikes-continue/"
"9580",NA,NA,"-5.90659340659341","4","20160318","2016","35.95","39.0167","SY","1821","18","SY","US","http://www.atlanticcouncil.org/en/blogs/syriasource/isis-and-genocide-a-narrow-approach-to-mass-murder-in-syria"
"9581","SYR","USA","2.19817909008012","10","20141115","2014","35.95","39.0167","SY","190","19","SY","US","http://www.concordmonitor.com/news/nation/world/14352756-95/us-mulls-more-cia-aid-for-rebels"
"9582","ITA","IRQ","-4.79041916167664","1","20160514","2016","35.95","39.0167","SY","073","07","SY","IT","http://www.iraqsun.com/index.php/sid/244068845"
"9583","IRQ","CAN","-2.9681978225708008","1","20160219","2016","35.950000762939453","39.016700744628906","SY","190","19","SY","CA","http://news.nationalpost.com/news/canada/canadas-cf-18s-are-coming-home-what-did-they-accomplish"
"9584","SYR","TUR","-6.91403668208857","60","20150815","2015","36.6816","38.9768","SY","193","19","SY","TU","http://www.aljazeera.com/news/2015/08/turkey-border-guards-accused-shooting-syrians-150814183613359.html"
"9585",NA,"IRQ","-5.85764294049008","8","20160414","2016","35.95","39.0167","SY","180","18","SY","TU","http://www.buzzfeed.com/mikegiglio/how-to-lose-your-mind-to-isis-and-then-fight-to-get-it-back"
"9586","SYR","IRQ","1.83356489435339","24","20140703","2014","35.95","39.0167","SY","192","19","SY","IZ","http://www.theglobeandmail.com/news/world/iraq-syria/article19439017/?cmpid=rss1"
"9587","TUR","SYR","3.37423312883436","2","20121008","2012","35.95","39.0167","SY","190","19","SY","TU","unspecified"
"9588",NA,"SYR","-6.36215334420881","1","20151116","2015","35.95","39.0167","SY","190","19","SY","FR","http://syriadirect.org/news/%E2%80%98raqqa-city-has-become-a-stage-for-international-revenge%E2%80%99/"
"9589",NA,"BEL","-6.84490695503008","3","20151117","2015","35.95","39.0167","SY","190","19","SY","BE","http://www.foxnews.com/world/2015/11/17/france-carries-out-fresh-isis-airstrikes-as-report-claims-allies-targeted-paris/"
"9590",NA,"SYR","1.06913756236636","2","20130527","2013","36.5667","38.8333","SY","192","19","SY","SY","http://www.dailystar.com.lb/News/Middle-East/2013/May-28/218570-regime-forces-make-gains-in-qusair-fighting.ashx"
"9591",NA,"SYR","-8","4","20151202","2015","35.7833","39.6","SY","190","19","SY","SY","http://www.canadianinquirer.net/2015/12/02/66114/"
"9592","SYR","SYR","-2.58780036968577","10","20151227","2015","35.95","39.0167","SY","0334","03","SY","SY","http://www.veteranstoday.com/2015/12/27/kurdish-press-why-are-isis-and-assads-regime-making-a-deal-brokered-by-un/"
"9593",NA,NA,"0","2","20141020","2014","35.95","39.0167","SY","190","19","SY","SY","http://www.menafn.com/1093985284/70-bodies-of-ISIL-militants-arrived-in-Raqqas-Tal-Abyad--SOHR"
"9594",NA,"SYR","3.53287536800785","2","20120920","2012","35.95","39.0167","SY","195","19","SY","SY","unspecified"
"9595","SYR","SYR","1.83044315992293","5","20140926","2014","35.95","39.0167","SY","190","19","SY","SY","http://www.worldbulletin.net/haberler/145208/us-led-strikes-pressure-nusra-fighters-to-join-with-isil"
